Authors	Title	Venue	Year	Link	arXiv	Category	Topics
"Y. Artzi, K. Lee, and L. Zettlemoyer"	Broad-coverage CCG Semantic Parsing with AMR	Proc. EMNLP	2015	http://yoavartzi.com/pub/alz-emnlp.2015.pdf		"Parsing, +CCG"	
"M. Pust, U. Hermjakob, K. Knight, D. Marcu, J. May"	Using Syntax-Based Machine Translation to Parse English into Abstract Meaning Representation	Proc. EMNLP	2015	https://aclweb.org/anthology/D/D15/D15-1136.pdf		"Parsing, +MT-based"	
"Chuan Wang, Nianwen Xue, Sameer Pradhan"	A Transition-based Algorithm for AMR Parsing	Proc. NAACL	2015	https://aclweb.org/anthology/N/N15/N15-1040.pdf		"Parsing, Transition-based"	
"Fei Liu, Jeffrey Flanigan, Sam Thomson, Norman Sadeh, Noah A. Smith"	Toward Abstractive Summarization Using Semantic Representations	Proc. NAACL	2015	https://aclweb.org/anthology/N/N15/N15-1114.pdf		Generation/Summarization	
"Xiaoman Pan, Taylor Cassidy, Ulf Hermjakob, Heng Ji, Kevin Knight"	Unsupervised Entity Linking with Abstract Meaning Representation	Proc. NAACL	2015	https://aclweb.org/anthology/N/N15/N15-1119.pdf		Applications	
"Lucy Vanderwende, Arul Menezes and Chris Quirk"	"An AMR parser for English, French, German, Spanish and Japanese and a new AMR-annotated corpus"	Proc. NAACL (Demo session)	2015	https://aclweb.org/anthology/N/N15/N15-3006.pdf		Multilingual	
"Lucy Vanderwende, Arul Menezes and Chris Quirk"	"An AMR parser for English, French, German, Spanish and Japanese and a new AMR-annotated corpus"	Proc. NAACL (Demo session)	2015	https://aclweb.org/anthology/N/N15/N15-3006.pdf		"Parsing, +Conversion"	
Naomi Saphra and Adam Lopez	AMRICA: an AMR Inspector for Cross-language Alignments	Proc. NAACL (Demo session)	2015	https://aclweb.org/anthology/N/N15/N15-3008.pdf		Alignment	
"J. Groschwitz, A. Koller, C. Teichmann"	Graph parsing with s-graph grammars	Proc. ACL	2015	https://aclweb.org/anthology/P/P15/P15-1143.pdf		"Parsing, +graph grammar"	
"M. Sachan, E. Xing"	Machine Comprehension Using Rich Semantic Representations 	Proc. ACL	2016	https://aclweb.org/anthology/P/P16/P16-2079.pdf		Applications	
Jonathan May	SemEval-2016 Task 8: Meaning Representation Parsing	Proc. SemEval	2016	https://aclweb.org/anthology/S/S16/S16-1166.pdf		"Parsing, Share Task Overview"	
Guntis Barzdins; Didzis Gosko	RIGA at SemEval-2016 Task 8: Impact of Smatch Extensions and Character-Level Neural Translation on AMR Parsing Accuracy	"Proc. SemEval <a href=""https://github.com/didzis/smatchTools"">Eval code</a>"	2016	https://aclweb.org/anthology/S/S16/S16-1176.pdf		Evaluation	
Guntis Barzdins; Didzis Gosko	RIGA at SemEval-2016 Task 8: Impact of Smatch Extensions and Character-Level Neural Translation on AMR Parsing Accuracy	Proc. SemEval	2016	https://aclweb.org/anthology/S/S16/S16-1176.pdf		"Parsing, Neural"	
Alastair Butler	DynamicPower at SemEval-2016 Task 8: Processing syntactic parse trees with a Dynamic Semantics core	Proc. SemEval	2016	https://aclweb.org/anthology/S/S16/S16-1177.pdf		"Parsing, +Conversion"	
Yevgeniy Puzikov; Daisuke Kawahara; Sadao Kurohashi	M2L at SemEval-2016 Task 8: AMR Parsing with Neural Networks	Proc. SemEval	2016	https://aclweb.org/anthology/S/S16/S16-1178.pdf		"Parsing, +Neural, +Transition-based"	
Lauritz Brandt; David Grimm; Mengfei Zhou; Yannick Versley	ICL-HD at SemEval-2016 Task 8: Meaning Representation Parsing - Augmenting AMR Parsing with a Preposition Semantic Role Labeling Neural Network 	Proc. SemEval	2016	https://aclweb.org/anthology/S/S16/S16-1179.pdf		"Parsing, +Conversion"	
James Goodman; Andreas Vlachos; Jason Naradowsky	UCL+Sheffield at SemEval-2016 Task 8: Imitation learning for AMR parsing with an alpha-bound	Proc. SemEval	2016	https://aclweb.org/anthology/S/S16/S16-1180.pdf		"Parsing, Imitation Learning/Learning to Search, +Transition-based"	
Chuan Wang; Sameer Pradhan; Xiaoman Pan; Heng Ji; Nianwen Xue	CAMR at SemEval-2016 Task 8: An Extended Transition-based AMR Parser	Proc. SemEval	2016	https://aclweb.org/anthology/S/S16/S16-1181.pdf		"Parsing, Transition-based"	
Johannes Bjerva; Johan Bos; Hessel Haagsma	The Meaning Factory at SemEval-2016 Task 8: Producing AMRs with Boxer	Proc. SemEval	2016	https://aclweb.org/anthology/S/S16/S16-1182.pdf		"Parsing, +Conversion"	
Xiaochang Peng; Daniel Gildea	UofR at SemEval-2016 Task 8: Learning Synchronous Hyperedge Replacement Grammar for AMR Parsing	Proc. SemEval	2016	https://aclweb.org/anthology/S/S16/S16-1183.pdf		"Parsing, +graph grammar"	
Sudha Rao; Yogarshi Vyas; Hal Daumé III; Philip Resnik	CLIP@UMD at SemEval-2016 Task 8: Parser for Abstract Meaning Representation using Learning to Search	Proc. SemEval	2016	https://aclweb.org/anthology/S/S16/S16-1184.pdf		"Parsing, Imitation Learning/Learning to Search, +Graph-based"	
William Foland; James H. Martin	CU-NLP at SemEval-2016 Task 8: AMR Parsing using LSTM-based Recurrent Neural Networks	Proc. SemEval	2016	https://aclweb.org/anthology/S/S16/S16-1185.pdf		"Parsing, Neural"	
Jeffrey Flanigan; Chris Dyer; Noah A. Smith; Jaime Carbonell	CMU at SemEval-2016 Task 8: Graph-based AMR Parsing with Infinite Ramp Loss	Proc. SemEval	2016	https://aclweb.org/anthology/S/S16/S16-1186.pdf		"Parsing, +graph-based"	
"B. Li, Y. Wen, L. Bu, W. Qu, and N. Xue"	Annotating the Little Prince with Chinese AMRs	Proc. 10th Linguistic Annotation Workshop (LAW X)	2016	https://aclweb.org/anthology/W/W16/W16-1702.pdf		Multilingual	
Noelia Migueles-Abraira	A Study Towards Spanish Abstract Meaning Representation	"MSc thesis, University of the Basque Country"	2017	https://addi.ehu.es/handle/10810/22056		Multilingual	
"L. Banarescu, C. Bonial, S. Cai, M. Georgescu, K. Griffitt, U. Hermjakob, K. Knight, P. Koehn, M. Palmer, and N. Schneider"	Abstract Meaning Representation (AMR) 1.2.2 Specification		2015	https://github.com/amrisi/amr-guidelines/blob/master/amr.md		"Annotation scheme, Overview"	
"M. Damonte, S. B. Cohen, G. Satta"	An Incremental Parser for Abstract Meaning Representation	Proc. EACL	2017	https://github.com/mdtux89/amr-eager : Parser code ; https://github.com/mdtux89/amr-evaluation : Eval code	https://arxiv.org/abs/1608.06111	Evaluation	
"Nathan Schneider, Jeffrey Flanigan, and Tim O’Gorman"	"Tutorial: “The Logic of AMR: Practical, Unified, Graph-Based Sentence Semantics for NLP"	 NAACL-HLT	2015	https://github.com/nschneid/amr-tutorial		Overview	
Edward Stabler	Reforming AMR	International Conference on Formal Grammar	2017	https://link.springer.com/chapter/10.1007/978-3-662-56343-4_5		Annotation scheme	first order logic
"J. Zhou, F. Xu, H. Uszkoreit, W. Qu, R. Li and Y. Gu"	AMR Parsing with an Incremental Joint Model	Proc. EMNLP	2016	https://www.aclweb.org/anthology/D/D16/D16-1065.pdf		"Parsing, Transition-based"	
"S. Takase, J. Suzuki, N. Okazaki, T. Hirao, M. Nagata"	Neural Headline Generation on Abstract Meaning Representation	Proc. EMNLP	2016	https://www.aclweb.org/anthology/D/D16/D16-1112.pdf		Generation/Summarization	
"Lai Dac Viet, Vu Trong Sinh, Nguyen Le Minh, Ken Satoh"	ConvAMR: Abstract meaning representation parsing for legal document	SCIDOCA	2017		https://arxiv.org/abs/1711.06141	 	"CNN, seq2seq"
"Fei Liu, Jeffrey Flanigan, Sam Thomson, Norman Sadeh, Noah A. Smith"	Toward Abstractive Summarization Using Semantic Representations		2018		https://arxiv.org/abs/1805.10399	 	summarization
"Kexin Liao, Logan Lebanoff, Fei Liu"	Abstract Meaning Representation for Multi-Document Summarization		2018		https://arxiv.org/abs/1806.05655	 	summarization
Chenhui Chu and Sadao Kurohashi	Supervised Syntax-based Alignment between English Sentences and Abstract Meaning Representation Graphs		2017		https://arxiv.org/abs/1606.02126	Alignment	
"Tim O’Gorman, Michael Regan, Kira Griffitt, Martha Palmer, Ulf Hermjakob, Kevin Knight"	AMR Beyond the Sentence: the Multi-sentence AMR corpus	COLING	2018			Annotation scheme	multi-sentence
"S. Garg, A. Galstyan, U. Hermjakob, and D. Marcu"	Extracting Biomolecular Interactions Using Semantic Parsing of Biomedical Text	Proc. AAAI	2016		http://arxiv.org/pdf/1512.01587v1	Applications	
"Kris Cao, Stephen Clark"	Generating syntactically varied realisations from AMR graphs		2018		https://arxiv.org/abs/1804.07707	Generation/Summarization	
"L. Song, Y. Zhang, X. Peng, Z. Wang and D. Gildea"	AMR-to-text generation as a Traveling Salesman Problem	Proc. EMNLP	2016		https://arxiv.org/abs/1609.07451	Generation/Summarization	
"Linfeng Song, Xiaochang Peng, Yue Zhang, Zhiguo Wang, and Daniel Gildea"	AMR-to-text Generation with Synchronous Node Replacement Grammar	Proc. ACL	2017		https://arxiv.org/abs/1702.00500	Generation/Summarization	
"Ioannis Konstas, Srinivasan Iyer, Mark Yatskar, Yejin Choi, and Luke Zettlemoyer"	Neural AMR: Sequence-to-Sequence Models for Parsing and Generation	Proc. ACL	2017		https://arxiv.org/abs/1704.08381	Generation/Summarization	
Timo Schick	Transition-Based Generation from Abstract Meaning Representations	"MSc thesis, Technische Universitat Dresden"	2017		https://arxiv.org/abs/1707.07591	Generation/Summarization	
"Shibhansh Dohare, Harish Karnick, and Vivek Gupta"	Text Summarization using Abstract Meaning Representation		2017		https://arxiv.org/abs/1706.01678	Generation/Summarization	
Marco Damonte and Shay B. Cohen	Cross-lingual Abstract Meaning Representation Parsing		2017		https://arxiv.org/abs/1704.04539	Multilingual	
"Ioannis Konstas, Srinivasan Iyer, Mark Yatskar, Yejin Choi, and Luke Zettlemoyer"	Neural AMR: Sequence-to-Sequence Models for Parsing and Generation	Proc. ACL	2017		https://arxiv.org/abs/1704.08381	"Parsing, Neural"	
William Foland and James H. Martin	Abstract Meaning Representation Parsing using LSTM Recurrent Neural Networks	Proc. ACL	2017			"Parsing, Neural"	
Rik van Noord and Johan Bos	Neural Semantic Parsing by Character-based Translation: Experiments with Abstract Meaning Representations		2017		https://arxiv.org/abs/1705.09980	"Parsing, Neural"	
Jan Buys and Phil Blunsom	Robust Incremental Neural Semantic Graph Parsing	Proc. ACL	2017		https://arxiv.org/abs/1704.07092	"Parsing, +Neural, +Transition-based"	
Miguel Ballesteros and Yaser Al-Onaizan	AMR Parsing using Stack-LSTMs	Proc. EMNLP	2017		https://arxiv.org/abs/1707.07755	"Parsing, +Neural, +Transition-based"	
